Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
radiation,form_1,,radio,Επίπεδα ακτινοβολίας,"1, Επηρεάζονται έντονα|2, Επηρεάζονται αρκετά|3, Επηρεάζονται μερικώς|4, Επηρεάζονται λίγο|5, Δεν επηρεάζονται καθόλου",,,,,,[language]=1,y,,,factorsclimate,,
worst_effect,form_1,,checkbox,"Επιλέξτε 5 από τους παρακάτω παράγοντες που, κατά τη γνώμη σας, έχουν τη χειρότερη επίδραση στην υγεία σας.","1, Ατμοσφαιρική ρύπανση|2, Λειψυδρία|3, Χημικά στο νερό και τα τρόφιμα|4, (τοξικά) Απόβλητα|5, Ρύπανση των αγροτικών περιοχών|6, Εξάντληση φυσικών πόρων|7, Ηχορύπανση|8, Μείωση βιοποικιλότητας|9, Καταναλωτικές συνήθειες|10, Υποβάθμιση του εδάφους|11, Ξένα/επεμβατικά είδη|12, Πλημμύρες|13, Ρύπανση του νερού",,,,,,[language]=1,y,LV,,,,
factors_affecting_health,form_1,,radio,Πόσο σημαντικοί πιστεύετε ότι είναι οι περιβαλλοντικοί παράγοντες στην ανάπτυξη/πρόκληση ασθενειών;,"1, Πολύ σημαντικοί|2, Κάπως σημαντικοί|3, Όχι και τόσο σημαντικοί|4, Καθόλου σημαντικοί|5, Δεν γνωρίζω",,,,,,[language]=1,y,LV,,,,
atmospheric_pollution_h,form_1,Πόσο επικίνδυνες για την υγεία σας πιστεύετε ότι είναι οι παρακάτω περιβαλλοντικές εκθέσεις;,radio,Aτμοσφαιρική ρύπανση,"1, Πολύ σοβαρός κίνδυνος|2, Κάπως σοβαρός κίνδυνος|3, Κάπως μικρός κίνδυνος|4, Καθόλου κίνδυνος|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,danger_health,,
water_pollution_h,form_1,,radio,Ρύπανση του νερού,"1, Πολύ σοβαρός κίνδυνος|2, Κάπως σοβαρός κίνδυνος|3, Κάπως μικρός κίνδυνος|4, Καθόλου κίνδυνος|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,danger_health,,
chemicals,form_1,,radio,Χημικά στο νερό και τα τρόφιμα,"1, Πολύ σοβαρός κίνδυνος|2, Κάπως σοβαρός κίνδυνος|3, Κάπως μικρός κίνδυνος|4, Καθόλου κίνδυνος|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,danger_health,,
waste,form_1,,radio,(Tοξικά) Aπόβλητα,"1, Πολύ σοβαρός κίνδυνος|2, Κάπως σοβαρός κίνδυνος|3, Κάπως μικρός κίνδυνος|4, Καθόλου κίνδυνος|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,danger_health,,
heatwave,form_1,,radio,Kαύσωνας,"1, Πολύ σοβαρός κίνδυνος|2, Κάπως σοβαρός κίνδυνος|3, Κάπως μικρός κίνδυνος|4, Καθόλου κίνδυνος|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,danger_health,,
floods,form_1,,radio,Πλημμύρες,"1, Πολύ σοβαρός κίνδυνος|2, Κάπως σοβαρός κίνδυνος|3, Κάπως μικρός κίνδυνος|4, Καθόλου κίνδυνος|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,danger_health,,
water_scarcity,form_1,,radio,Λειψυδρία,"1, Πολύ σοβαρός κίνδυνος|2, Κάπως σοβαρός κίνδυνος|3, Κάπως μικρός κίνδυνος|4, Καθόλου κίνδυνος|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,danger_health,,
rural_pollution,form_1,,radio,Ρύπανση των αγροτικών περιοχών,"1, Πολύ σοβαρός κίνδυνος|2, Κάπως σοβαρός κίνδυνος|3, Κάπως μικρός κίνδυνος|4, Καθόλου κίνδυνος|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,danger_health,,
noise_pollution,form_1,,radio,Ηχορύπανση,"1, Πολύ σοβαρός κίνδυνος|2, Κάπως σοβαρός κίνδυνος|3, Κάπως μικρός κίνδυνος|4, Καθόλου κίνδυνος|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,danger_health,,
consum_habits,form_1,,radio,Καταναλωτικές συνήθειες,"1, Πολύ σοβαρός κίνδυνος|2, Κάπως σοβαρός κίνδυνος|3, Κάπως μικρός κίνδυνος|4, Καθόλου κίνδυνος|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,danger_health,,
invasive_items,form_1,,radio,Ξένα/επεμβατικά είδη,"1, Πολύ σοβαρός κίνδυνος|2, Κάπως σοβαρός κίνδυνος|3, Κάπως μικρός κίνδυνος|4, Καθόλου κίνδυνος|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,danger_health,,
depl_natural_resources,form_1,,radio,Εξάντληση φυσικών πόρων,"1, Πολύ σοβαρός κίνδυνος|2, Κάπως σοβαρός κίνδυνος|3, Κάπως μικρός κίνδυνος|4, Καθόλου κίνδυνος|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,danger_health,,
biodiversity_reduction,form_1,,radio,Μείωση βιοποικιλότητας,"1, Πολύ σοβαρός κίνδυνος|2, Κάπως σοβαρός κίνδυνος|3, Κάπως μικρός κίνδυνος|4, Καθόλου κίνδυνος|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,danger_health,,
soil_degradation,form_1,,radio,Υποβάθμιση του εδάφους,"1, Πολύ σοβαρός κίνδυνος|2, Κάπως σοβαρός κίνδυνος|3, Κάπως μικρός κίνδυνος|4, Καθόλου κίνδυνος|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,danger_health,,
covid,form_1,,radio,SARS CoV-2 (ιός που προκαλεί τη νόσο COVID-19),"1, Πολύ σοβαρός κίνδυνος|2, Κάπως σοβαρός κίνδυνος|3, Κάπως μικρός κίνδυνος|4, Καθόλου κίνδυνος|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,danger_health,,
cancer_child,form_1,"Σκεπτόμενος/-η τις ασθένειες του παρακάτω πίνακα, πιστεύετε ότι οι περιβαλλοντικοί παράγοντες παίζουν μεγάλο, μικρό, ή κανένα ρόλο στην εμφάνισή τους;",radio,"Καρκίνος/κακοήθειες σε παιδιά, πχ. λευχαιμία","1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
infertility,form_1,,radio,Υπογονιμότητα,"1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
asthma_child,form_1,,radio,Παιδικό άσθμα,"1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
allergies,form_1,,radio,Αναπνευστικά προβλήματα και αλλεργίες,"1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
genetic_abnormalities,form_1,,radio,Γενετικές ανωμαλίες,"1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
breast_cancer,form_1,,radio,Καρκίνος του στήθους,"1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
hypertension,form_1,,radio,Υπέρταση,"1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
flu,form_1,,radio,Kρύωμα και γρίπη,"1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
prostate_cancer,form_1,,radio,Kαρκίνος του προστάτη,"1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
brain_tumor,form_1,,radio,Όγκοι του εγκεφάλου,"1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
asthma_adults,form_1,,radio,Άσθμα σε ενήλικες,"1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
obesity,form_1,,radio,Παχυσαρκία,"1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
typeii_diabetes,form_1,,radio,Διαβήτης τύπου 2,"1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
thyroid_cancer,form_1,,radio,Καρκίνος του θυρεοειδούς,"1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
vector_borne_infdis,form_1,,radio,Νοσήματα (π.χ. ελονοσία) που μεταδίδονται μέσω διαβιβαστών (π.χ. κουνούπια),"1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
infectious_diseases1,form_1,,radio,"Άλλες μεταδοτικές ασθένειες όπως ιλαρά, φυματίωση, και ηπατίτιδα","1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
covid19,form_1,,radio,COVID-19,"1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
depression,form_1,,radio,"Ασθένειες ψυχικής υγείας (π.χ. κατάθλιψη, άγχος)","1, Μεγάλος ρόλος|2, Μικρός ρόλος|3, Κανένας ρόλος|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,fatcorshealth,,
action1,form_1,"Κατά τη γνώμη σας, πόσα πράγματα/δράσεις μπορούν να κάνουν πολίτες σαν εσάς για να προστατευτούν από τα παρακάτω:",radio,"Μεταδοτικές ασθένειες όπως ιλαρά, φυματίωση, COVID-19 και ηπατίτιδα.","1, Πολλά πράγματα|2, Μερικά πράγματα|3, Λίγα πράγματα|4, Τίποτα|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,actions,,
action2,form_1,,radio,"Προβλήματα υγείας που προκαλούνται από περιβαλλοντικούς παράγοντες όπως η κλιματική αλλαγή, η μόλυνση ή τα (τοξικά) απόβλητα.","1, Πολλά πράγματα|2, Μερικά πράγματα|3, Λίγα πράγματα|4, Τίποτα|5, Δεν γνωρίζω",,,,,,[language]=1,y,,,actions,,
info,form_1,<center>Πηγές ενημέρωσης,checkbox,"<div class=""rich-text-field-label""><p>Με ποιους από τους παρακάτω τρόπους/μέσα λαμβάνετε πληροφορίες για περιβαλλοντικούς κινδύνους; <br /><span style=""font-weight: normal;""><em>Παρακαλούμε επιλέξτε μέχρι 5 τρόπους/μέσα.</em></span></p></div>","1, Μέσα κοινωνικής δικτύωσης (πχ. Facebook) και διαδίκτυο/ίντερνετ | 2, Ειδήσεις στην τηλεόραση | 3, Ταινίες και ντοκυμαντέρ στην τηλεόραση | 4, Συζητήσεις με συγγενείς, την οικογένεια, φίλους, γείτονες κλπ. | 5, Εφημερίδες | 6, Γιατροί | 7, Δημοσιεύσεις, φυλλάδια και άλλο ενημερωτικό υλικό | 8, Ραδιόφωνο | 9, Περιοδικά | 10, Βιβλία | 11, Εκδηλώσεις (συνέδρια, εκθέσεις, φεστιβάλ) | 12, Πολιτικοί | 13, Εκπαιδευτικό υλικό, διαλέξεις και μαθήματα | 14, Άλλο",,,,,,[language]=1,y,LV,,,,
other_info,form_1,,text,"<div class=""rich-text-field-label""><p>Αν επιλέξατε <em>'Άλλο'</em>, παρακαλούμε προσδιορίστε:</p></div>",,,,,,,[language]=1,,LV,,,,
internet,form_1,Πόσο αξιόπιστες θεωρείτε τις ακόλουθες πηγές πληροφοριών;,radio,Μέσα κοινωνικής δικτύωσης (πχ. Facebook) και διαδίκτυο/ίντερνετ,"1, Πολύ αξιόπιστη|2, Αρκετά αξιόπιστη|3, Μέτρια αξιόπιστη|4, Λίγο αξιόπιστη|5, Καθόλου αξιόπιστη",,,,,,[language]=1,y,,,trust,,
news,form_1,,radio,Ειδήσεις στην τηλεόραση,"1, Πολύ αξιόπιστη|2, Αρκετά αξιόπιστη|3, Μέτρια αξιόπιστη|4, Λίγο αξιόπιστη|5, Καθόλου αξιόπιστη",,,,,,[language]=1,y,,,trust,,
movies,form_1,,radio,Ταινίες και ντοκυμαντέρ στην τηλεόραση,"1, Πολύ αξιόπιστη|2, Αρκετά αξιόπιστη|3, Μέτρια αξιόπιστη|4, Λίγο αξιόπιστη|5, Καθόλου αξιόπιστη",,,,,,[language]=1,y,,,trust,,
discussions,form_1,,radio,"Συζητήσεις με συγγενείς, την οικογένεια, φίλους, γείτονες κλπ.","1, Πολύ αξιόπιστη|2, Αρκετά αξιόπιστη|3, Μέτρια αξιόπιστη|4, Λίγο αξιόπιστη|5, Καθόλου αξιόπιστη",,,,,,[language]=1,y,,,trust,,
newspaper,form_1,,radio,Εφημερίδες,"1, Πολύ αξιόπιστη|2, Αρκετά αξιόπιστη|3, Μέτρια αξιόπιστη|4, Λίγο αξιόπιστη|5, Καθόλου αξιόπιστη",,,,,,[language]=1,y,,,trust,,
doctors,form_1,,radio,Γιατροί,"1, Πολύ αξιόπιστη|2, Αρκετά αξιόπιστη|3, Μέτρια αξιόπιστη|4, Λίγο αξιόπιστη|5, Καθόλου αξιόπιστη",,,,,,[language]=1,y,,,trust,,
educational_material,form_1,,radio,"Εκπαιδευτικό υλικό, διαλέξεις και μαθήματα","1, Πολύ αξιόπιστη|2, Αρκετά αξιόπιστη|3, Μέτρια αξιόπιστη|4, Λίγο αξιόπιστη|5, Καθόλου αξιόπιστη",,,,,,[language]=1,y,,,trust,,
publication,form_1,,radio,"Δημοσιεύσεις, φυλλάδια και άλλο ενημερωτικό υλικό","1, Πολύ αξιόπιστη|2, Αρκετά αξιόπιστη|3, Μέτρια αξιόπιστη|4, Λίγο αξιόπιστη|5, Καθόλου αξιόπιστη",,,,,,[language]=1,y,,,trust,,
radio,form_1,,radio,Ραδιόφωνο,"1, Πολύ αξιόπιστη|2, Αρκετά αξιόπιστη|3, Μέτρια αξιόπιστη|4, Λίγο αξιόπιστη|5, Καθόλου αξιόπιστη",,,,,,[language]=1,y,,,trust,,
magazines,form_1,,radio,Περιοδικά,"1, Πολύ αξιόπιστη|2, Αρκετά αξιόπιστη|3, Μέτρια αξιόπιστη|4, Λίγο αξιόπιστη|5, Καθόλου αξιόπιστη",,,,,,[language]=1,y,,,trust,,
books,form_1,,radio,Βιβλία,"1, Πολύ αξιόπιστη|2, Αρκετά αξιόπιστη|3, Μέτρια αξιόπιστη|4, Λίγο αξιόπιστη|5, Καθόλου αξιόπιστη",,,,,,[language]=1,y,,,trust,,
events,form_1,,radio,"Εκδηλώσεις (συνέδρια, εκθέσεις, φεστιβάλ)","1, Πολύ αξιόπιστη|2, Αρκετά αξιόπιστη|3, Μέτρια αξιόπιστη|4, Λίγο αξιόπιστη|5, Καθόλου αξιόπιστη",,,,,,[language]=1,y,,,trust,,
politicians,form_1,,radio,Πολιτικοί,"1, Πολύ αξιόπιστη|2, Αρκετά αξιόπιστη|3, Μέτρια αξιόπιστη|4, Λίγο αξιόπιστη|5, Καθόλου αξιόπιστη",,,,,,[language]=1,y,,,trust,,
community_environment,form_1,Κάποιοι πολίτες αναφέρουν ότι δεν έχουν αρκετή πληροφόρηση για τα θέματα που διαπραγματεύεται η έρευνα. Εσείς τι πιστεύετε; Έχετε αρκετή πληροφόρηση ή χρειάζεστε παραπάνω πληροφόρηση για τα παρακάτω θέματα;,radio,Κατάσταση του περιβάλλοντος στην κοινότητά σας.,"1, Ναι, έχω αρκετή πληροφόρηση|2, Θα ήθελα παραπάνω πληροφόρηση|3, Όχι δεν θα ήθελα να λαμβάνω αυτές τις πληροφορίες|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,more_info,,
effects_climate_change,form_1,,radio,Eπιπτώσεις της κλιματικής αλλαγής στον πληθυσμό της Κύπρου.,"1, Ναι, έχω αρκετή πληροφόρηση|2, Θα ήθελα παραπάνω πληροφόρηση|3, Όχι δεν θα ήθελα να λαμβάνω αυτές τις πληροφορίες|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,more_info,,
protect_from_health_issues,form_1,,radio,Τι μπορούμε να κάνουμε για να προστατεύσουμε τους εαυτούς μας και την οικογένειά μας από προβλήματα υγείας σχετικά με το περιβάλλον.,"1, Ναι, έχω αρκετή πληροφόρηση|2, Θα ήθελα παραπάνω πληροφόρηση|3, Όχι δεν θα ήθελα να λαμβάνω αυτές τις πληροφορίες|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,more_info,,
protect_from_cl_change,form_1,,radio,Τι μπορούμε να κάνουμε για να προστατεύσουμε τους εαυτούς μας και την οικογένειά μας από τις επιπτώσεις της κλιματικής αλλαγής.,"1, Ναι, έχω αρκετή πληροφόρηση|2, Θα ήθελα παραπάνω πληροφόρηση|3, Όχι δεν θα ήθελα να λαμβάνω αυτές τις πληροφορίες|4, Δεν γνωρίζω",,,,,,[language]=1,y,,,more_info,,
want_info,form_1,,checkbox,"<div class=""rich-text-field-label""><p>Με ποιους από τους παρακάτω τρόπους/μέσα θέλετε να λαμβάνετε πληροφορίες για περιβαλλοντικούς κινδύνους; <br /><span style=""font-weight: normal;""><em>Παρακαλούμε επιλέξτε μέχρι 5 τρόπους/μέσα.</em></span></p></div>","1, Μέσα κοινωνικής δικτύωσης (πχ. Facebook) και διαδίκτυο/ίντερνετ|2, Ειδήσεις στην τηλεόραση|3, Ταινίες και ντοκυμαντέρ στην τηλεόραση|4, Συζητήσεις με συγγενείς, την οικογένεια, φίλους, γείτονες κλπ.|5, Εφημερίδες|6, Γιατροί|7, Δημοσιεύσεις, φυλλάδια και άλλο ενημερωτικό υλικό|8, Ραδιόφωνο|9, Περιοδικά|10, Βιβλία|11, Εκδηλώσεις (συνέδρια, εκθέσεις, φεστιβάλ)|12, Πολιτικοί|13, Εκπαιδευτικό υλικό, διαλέξεις και μαθήματα|14, Άλλο",,,,,,[language]=1,y,LV,,,,
other_info_2,form_1,,text,"<div class=""rich-text-field-label""><p>Αν επιλέξατε <em>'Άλλο'</em>, παρακαλούμε προσδιορίστε:</p></div>",,,,,,,[language]=1,,LV,,,,
age,form_1,<center>Γενικές πληροφορίες,text,Ηλικία:,,,integer,18,100,,[language]=1,y,LV,,,,
sex,form_1,,radio,Φύλο:,"1, Γυναίκα|2, Άνδρας|3, Δεν θα ήθελα να απαντήσω",,,,,,[language]=1,y,LV,,,,
place_of_birth_discr,form_1,,radio,Πώς θα περιγράφατε τον τόπο γέννησής σας;,"1, Μεγάλη πόλη|2, Προάστιο μεγάλης πόλης|3, Μικρή πόλη/Κωμόπολη|4, Μη αστική περιοχή (π.χ. χωριό)",,,,,,[language]=1,y,LV,,,,
education_level,form_1,,radio,"Ποιο είναι το υψηλότερο επίπεδο εκπαίδευσης που έχετε ολοκληρώσει με επιτυχία;
Παρακαλώ περιλάβετε οποιαδήποτε εκπαίδευση πήρατε στα πλαίσια της εργασίας σας.","1, Δεν έχω φοιτήσει ποτέ σε σχολείο|2, Δεν έχω τελειώσει το δημοτικό|3, Δημοτικό σχολείο|4, Γυμνάσιο (3 χρόνια)|5, Λύκειο/Τεχνική σχολή (απολυτήριο)|6, Μεταλυκειακή εκπαίδευση μη τριτοβάθμια|7, Τριτοβάθμια μη Πανεπιστημιακή|8, Πανεπιστήμιο (πρώτο πτυχίο)|9, Πανεπιστήμιο-Μεταπτυχιακό (μόνο Master's degree)|10, Διδακτορικό",,,,,,[language]=1,y,LV,,,,
occupational_status,form_1,,radio,Επαγγελματική κατάσταση:,"1, Εργαζόμενος/η|2, Συνταξιούχος/α|3, Μαθητής/τρια|4, Δεν εργάζομαι|5, Οικιακά|6, Εργάζομαι οικιοθελώς",,,,,,[language]=1,y,LV,,,,
district,form_1,,radio,Σε ποια επαρχία μένετε τώρα;,"1, Πάφος|2, Λεμεσός|3, Λευκωσία|4, Αμμόχωστος|5, Λάρνακα|6, Άλλη περιοχή της Κύπρου|7, Δεν μένω στην Κύπρο",,,,,,[language]=1,y,LV,,,,
area_discr,form_1,,radio,Πώς θα περιγράφατε την περιοχή στην οποία μένετε;,"1, Μεγάλη πόλη|2, Προάστιο μεγάλης πόλης|3, Μικρή πόλη/Κωμόπολη|4, Μη αστική περιοχή (π.χ. χωριό)",,,,,,[language]=1,y,LV,,,,
rate_area,form_1,,radio,Πώς θα βαθμολογούσατε την κοινότητα/περιοχή σας σαν μέρος για να ζει κάποιος;,"1, Πολύ καλή|2, Κάπως καλή|3, Κάπως κακή|4, Πολύ κακή|5, Δεν γνωρίζω",,,,,,[language]=1,y,LV,,,,
marital_status,form_1,,radio,Ποια είναι η οικογενειακή σας κατάσταση;,"1, Ανύπαντρος/η|2, Παντρεμένος/η|3, Χωρισμένος/η|4, Χήρος/α",,,,,,[language]=1,y,LV,,,,
children,form_1,,radio,Έχετε παιδιά;,"1, Ναι|2, Όχι",,,,,,[language]=1,y,LV,,,,
logo_en,form_1,<center>Introduction,descriptive,<center>,,,,,,,[language]=2,y,,,,,
introduction_en,form_1,,radio,"<div class=""rich-text-field-label""><p>Dear Respondent,<br /><br /><span style=""font-weight: normal;"">Thank you for your interest in our study!</span><br /><br />Cyprus is located in a 'climate hot spot' and is experiencing rapid climate change which is expected to affect our lives and health.<br /><br /><span style=""font-weight: normal;"">For example, Cyprus experiences more frequent heatwaves and forest fires during the summer and lengthy periods without rain in the winter which threaten water availability. These phenomena are the result of the overall changes in the climate.</span><br /><br /><span style=""text-decoration: underline;"">Primary objective of the study:</span></p> <p><span style=""font-weight: normal;"">With this study we aim </span>to collect the opinions of people living in Cyprus about how their health might be influenced by climate change and environmental factors.<br /><span style=""font-weight: normal;"">Environmental factors refer to everything that exists in our surroundings and is not a genetic or biological process in our bodies.</span></p> <p><span style=""text-decoration: underline;"">Expected benefit from your participation in the study:</span></p> <p><span style=""font-weight: normal;"">Your answers to a short questionnaire will help us understand how people living in Cyprus perceive the health effects of climate change. </span><span style=""font-weight: normal;"">With these results we will be able to develop research and evidence-based communication strategies which will help tackle the impacts of the climate crisis.</span></p> <p><span style=""text-decoration: underline;"">Important information</span></p> <ul> <li>Details of any risks that may exist or any inconvenience that participants may incur <ul> <li><span style=""font-weight: normal;"">There are no risks associated with this study. </span></li> </ul> </li> <li>Details of what data will be collected or generated for you within the project, who will have access to them and for how long<br /> <ul> <li><span style=""font-weight: normal;"">Your survey responses will be anonymous and no personally identifiable information will be requested from you. </span></li> <li><span style=""font-weight: normal;"">Your anonymity will be ensured throughout the research and during the publication of the results in conferences, scientific journals, etc.</span></li> <li><span style=""font-weight: normal;"">The data will be kept in safe areas with access to them only by the research team.</span></li> <li><span style=""font-weight: normal;"">The data obtained from the study will be stored in a safe area by the Cyprus International Institute for Environmental and Public Health for 10 years and then will be destroyed.</span></li> </ul> </li> </ul> <ul> <li>Estimated time to complete the questionnaire is between 8 - 10 minutes.</li> <li>Expected benefit for researchers and/or sponsors <ul> <li><span style=""font-weight: normal;"">The study aims to explore the Cypriot perceptions regarding climate-related health risks. To explore how perceptions have changed over time, this study will compare results with the 2018 survey conducted by the Water and Health Laboratory.</span></li> <li><span style=""font-weight: normal;"">Therefore, this study will compare results from two different samples of the same population in two points in time. In addition, these perceptions will be compared by factors, like age, living area, educational level, and self-assessed health. This can portray the differences in perception within a population, which are likely to be found for all four factors. This study is part of a thesis project.</span></li> </ul> </li> <li>Description of relevant procedures in handling the data and personal information of participants who choose to withdraw from the study prior to its completion. <ul> <li><span style=""font-weight: normal;"">Data collection will follow GDPR principles. </span></li> <li><span style=""font-weight: normal;"">Survey responses will be anonymous and no personally identifiable information will be requested. </span></li> <li><span style=""font-weight: normal;"">Participation in this study is completely voluntary and participants can withdraw from the survey at any point and their personal information will not be stored.</span> </li> </ul> </li> </ul> <ul> <li>This study is conducted by the Cyprus International Institute for Environmental and Public Health in collaboration with the MSc in Global Health at Maastricht University, The Netherlands.<br /><br /></li> <li style=""text-align: left;"">Full contact details and title of the person to whom participants can submit complaints or grievances regarding the programme they participate in. <ul> <li style=""text-align: left;""><span style=""font-weight: normal;"">Dr. Charalambos Chrysostomou, Head of Research Services, Cyprus University of Technology</span> <ul> <li style=""text-align: left;""><span style=""font-weight: normal;"">Tel. no.: 25002562</span></li> </ul> </li> </ul> </li> <li>Full contact details and title of the person to whom participants can contact for more information or clarifications on the management of personal data. <ul> <li><span style=""font-weight: normal;"">Mrs. Maria Ioannou, Data Protection Officer, Cyprus University of Technology</span> <ul> <li><span style=""font-weight: normal;"">Tel. no.: 25 00 2355</span></li> <li><span style=""font-weight: normal;"">Email: </span><a style=""font-weight: normal;"" href=""mailto:gdpr.dpo@cut.ac.cy"">gdpr.dpo@cut.ac.cy</a></li> </ul> </li> </ul> </li> </ul> <ul> <li>Full contact details and title of the person whom participants can contact for more information or clarifications about the research programme. <ul> <li><span style=""font-weight: normal;"">Sarah Connon, Master student of Global Health program of the Maastricht University of Netherlands </span> <ul> <li><span style=""font-weight: normal;"">Email: <a href=""mailto:s.connon@student.maastrichtuniversity.nl"">s.connon@student.maastrichtuniversity.nl</a> </span></li> </ul> </li> <li><span style=""font-weight: normal;"">Corina Konstantinou, Research Fellow, Water and Health Lab</span> <ul> <li><span style=""font-weight: normal;"">Telephone no.: +357-25002282</span></li> <li><span style=""font-weight: normal;"">Email: <a href=""mailto:waterandhealthlab@cut.ac.cy"">waterandhealthlab@cut.ac.cy</a></span></li> </ul> </li> </ul> </li> </ul> <p><span style=""font-weight: normal;"">If you need additional information about the study or about other research activities, please feel free to contact us at the email address: waterandhealthlab@cut.ac.cy</span></p> <p><span style=""font-weight: normal;"">If you agree to answer the questionnaire, check the box at the bottom of the page.</span></p> <p><br />Thank you!<br /><br />Sarah Connon<br /><span style=""font-weight: normal;"">MSc Global Health</span><br /><span style=""font-weight: normal;"">Maastricht University, the Netherlands</span><br /><br />Konstantinos C. Makris, PhD<br /><span style=""font-weight: normal;"">Associate Professor of Environmental Health</span><br /><span style=""font-weight: normal;"">Water and Health Laboratory</span><br /><span style=""font-weight: normal;"">Cyprus International Institute for Environmental and Public Health</span><br /><span style=""font-weight: normal;"">Cyprus University of Technology</span></p></div>","1, I have read and understood all the given information and I would like to proceed to the questionnaire",,,,,,[language]=2,y,LV,,,,
health_status_en,form_1,<center> Health Assessment ,radio,In general would you say your health is:,"1, Excellent | 2, Very good | 3, Good | 4, Average | 5, Poor",,,,,,[language]=2,y,LV,,,,
health_comp_to_last_yr_en,form_1,,radio,How is your health now compared to one year ago:,"1, Much better now than one year ago | 2, Somewhat better now than one year ago | 3, About the same | 4, Somewhat worse than one year ago | 5, Much worse than one year ago",,,,,,[language]=2,y,LV,,,,
